,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
28,JUV015,220409,29,1901.044411,1901.236744,1902.497905,1901.238911,1901.238911,"[1901.236744, 1901.311077, 1901.419744, 1901.508243, 1901.599742, 1901.689409, 1901.797585, 1901.898741, 1902.000741, 1902.117241, 1902.232907, 1902.348073, 1902.462406]",1,2,go,13,normal,2
29,JUV015,220409,30,1905.292061,1905.496062,1907.062387,1905.498394,1905.498394,"[1905.496062, 1905.604063, 1905.714559, 1905.812892, 1905.909558, 1906.008063, 1906.123891, 1906.240224, 1906.34239, 1906.451056, 1906.560061, 1906.676222, 1906.785222, 1906.902555, 1907.019221]",1,2,go,15,normal,2
30,JUV015,220409,31,1909.884381,1910.027709,1922.187827,,1910.027709,"[1910.027709, 1910.135708, 1922.067327, 1922.16666]",6,-1,nogo,4,normal,
31,JUV015,220409,32,1924.189152,,,,1927.439472,[],6,0,nogo,0,normal,
32,JUV015,220409,33,1931.480789,,,,1934.73111,[],8,0,nogo,0,normal,
33,JUV015,220409,34,1938.449102,1938.633594,1942.334913,1938.635928,1938.635928,"[1938.633594, 1938.725265, 1938.827264, 1938.921428, 1939.016593, 1939.104592, 1939.213425, 1939.315425, 1939.417091, 1939.518424, 1939.633924, 1939.749923, 1939.872756, 1942.227247, 1942.313419]",2,2,go,15,normal,2
34,JUV015,220409,35,1944.336072,,,,1947.586392,[],7,0,nogo,0,normal,
35,JUV015,220409,36,1951.585043,,,,1954.835363,[],6,0,nogo,0,normal,
36,JUV015,220409,37,1958.558348,1958.740014,1960.014009,1958.74218,1958.74218,"[1958.740014, 1958.83268, 1958.933846, 1959.021182, 1959.137182, 1959.217512, 1959.311845, 1959.420511, 1959.536177, 1959.65251, 1959.754676, 1959.863511, 1959.992509]",2,2,go,13,normal,2
37,JUV015,220409,38,1962.401832,1962.528332,1966.326983,1962.530499,1962.530499,"[1962.528332, 1962.621665, 1962.716831, 1962.819501, 1962.928664, 1963.016997, 1963.125996, 1963.234996, 1963.350829, 1963.460162, 1963.567995, 1966.32015]",2,2,go,12,normal,2
38,JUV015,220409,39,1968.328309,1968.472475,1972.835957,1968.474642,1968.474642,"[1968.472475, 1968.560141, 1968.670641, 1968.772974, 1968.882307, 1968.97714, 1969.085981, 1969.208972, 1969.325471, 1969.434804, 1969.550971, 1972.025794, 1972.814958]",2,2,go,13,normal,2
39,JUV015,220409,40,1974.837116,1974.989949,1978.877767,1974.992282,1974.992282,"[1974.989949, 1975.092115, 1975.207281, 1975.316114, 1975.42528, 1975.526947, 1975.629113, 1975.758279, 1975.880945, 1975.989278, 1978.870767]",3,2,go,11,normal,2
40,JUV015,220409,41,1980.878925,1981.023264,1981.165757,,1981.023264,"[1981.023264, 1981.122924]",5,-1,nogo,2,normal,
41,JUV015,220409,42,1995.911698,1996.074031,1996.336864,,1996.074031,"[1996.074031, 1996.173031, 1996.286864]",5,-1,nogo,3,normal,
42,JUV015,220409,43,2010.129986,,,,2013.380299,[],8,0,nogo,0,normal,
43,JUV015,220409,44,2016.714782,2016.918448,2018.114443,2016.920619,2016.920619,"[2016.918448, 2017.019947, 2017.114619, 2017.209447, 2017.318621, 2017.406446, 2017.500445, 2017.609112, 2017.718111, 2017.840944, 2017.949777, 2018.071943]",4,2,go,12,normal,2
44,JUV015,220409,45,2021.605107,2021.756762,2021.763762,,2021.756762,[2021.756762],5,-1,nogo,1,normal,
45,JUV015,220409,46,2036.075538,2040.240188,2040.54102,,2039.325858,"[2040.240188, 2040.361687, 2040.483853]",8,0,nogo,3,normal,
46,JUV015,220409,47,2043.584008,,,,2046.586496,[],13,-1,go,0,missed,
47,JUV015,220409,48,2060.483274,,,,2063.733594,[],7,0,nogo,0,normal,
48,JUV015,220409,49,2068.077243,2068.265242,2072.550392,2068.267409,2068.267409,"[2068.265242, 2068.358075, 2068.460242, 2068.547908, 2068.657241, 2068.744574, 2068.838907, 2068.94824, 2069.056739, 2069.171906, 2069.287572, 2072.543904]",1,2,go,12,normal,2
49,JUV015,220409,50,2074.551717,,,,2077.802038,[],6,0,nogo,0,normal,
50,JUV015,220409,51,2081.48719,2081.680189,2082.768851,2081.682355,2081.682355,"[2081.680189, 2081.772859, 2081.875688, 2081.970521, 2082.079687, 2082.167854, 2082.269353, 2082.385186, 2082.494019, 2082.602852, 2082.725851]",2,2,go,11,normal,2
51,JUV015,220409,52,2086.26567,,,,2089.515991,[],6,0,nogo,0,normal,
52,JUV015,220409,53,2093.15231,2107.760084,2107.781584,,2096.154631,[2107.760084],16,-1,go,1,missed,
53,JUV015,220409,54,2110.481407,,,,2113.731727,[],6,0,nogo,0,normal,
54,JUV015,220409,55,2117.573878,2117.676878,2118.762207,2117.679045,2117.679045,"[2117.676878, 2117.769044, 2117.877877, 2117.972544, 2118.081376, 2118.168876, 2118.278042, 2118.380209, 2118.489375, 2118.611708, 2118.73404]",2,2,go,11,normal,2
55,JUV015,220409,56,2121.734862,,,,2124.985022,[],6,0,nogo,0,normal,
56,JUV015,220409,57,2128.806834,2129.012833,2139.416625,,2129.012833,"[2129.012833, 2129.111999, 2138.89146, 2139.086626, 2139.190626, 2139.360958, 2139.374958, 2139.409791]",7,-1,nogo,8,normal,
57,JUV015,220409,58,2142.95811,2143.242786,2143.462108,,2143.242786,"[2143.242786, 2143.426275]",6,-1,nogo,2,normal,
58,JUV015,220409,59,2156.992721,,,,2160.243041,[],8,0,nogo,0,normal,
59,JUV015,220409,60,2164.403358,,,,2167.405513,[],12,-1,go,0,missed,
60,JUV015,220409,61,2181.414956,2181.579289,2182.563285,2181.581456,2181.581456,"[2181.579289, 2181.671789, 2181.773122, 2181.867955, 2181.977454, 2182.064954, 2182.166954, 2182.282786, 2182.391286, 2182.512952]",4,2,go,10,normal,2
61,JUV015,220409,62,2186.38027,2186.559436,2186.566269,,2186.559436,[2186.559436],5,-1,nogo,1,normal,
62,JUV015,220409,63,2200.941878,2201.25221,2213.819327,,2201.25221,"[2201.25221, 2201.359543, 2213.494995, 2213.601161, 2213.798494]",5,-1,nogo,5,normal,
63,JUV015,220409,64,2215.820486,,,,2219.070806,[],7,0,nogo,0,normal,
64,JUV015,220409,65,2222.616125,2222.832459,2222.959124,,2222.832459,"[2222.832459, 2222.930957]",5,-1,nogo,2,normal,
65,JUV015,220409,66,2236.408737,,,,2239.659057,[],8,0,nogo,0,normal,
66,JUV015,220409,67,2243.77204,2243.984206,2247.796691,2243.986379,2243.986379,"[2243.984206, 2244.085706, 2244.201872, 2244.298872, 2244.407871, 2244.502871, 2244.605037, 2244.727537, 2244.856542, 2244.972369, 2245.088541, 2245.218201, 2245.347534, 2247.660861, 2247.760691]",2,2,go,15,normal,2
67,JUV015,220409,68,2249.79785,2250.012182,2258.635314,,2250.012182,"[2250.012182, 2258.508482, 2258.614481]",5,-1,nogo,3,normal,
68,JUV015,220409,69,2263.718303,,,,2266.968622,[],7,0,nogo,0,normal,
69,JUV015,220409,70,2271.605429,2271.802928,2272.831924,2271.804928,2271.804928,"[2271.802928, 2271.902761, 2272.031427, 2272.126427, 2272.228926, 2272.331106, 2272.439759, 2272.555925, 2272.672758, 2272.781591]",3,2,go,10,normal,2
70,JUV015,220409,71,2275.843745,2279.528231,2279.535231,,2279.094066,[2279.528231],8,0,nogo,1,normal,
71,JUV015,220409,72,2282.866717,2283.005883,2284.260388,2283.007884,2283.007884,"[2283.005883, 2283.10705, 2283.208383, 2283.310385, 2283.426548, 2283.514548, 2283.623048, 2283.732223, 2283.848047, 2283.964046, 2284.087546, 2284.202712]",2,2,go,12,normal,2
72,JUV015,220409,73,2287.0772,,,,2290.327521,[],6,0,nogo,0,normal,
73,JUV015,220409,74,2294.584337,2294.745341,2295.869165,2294.74767,2294.74767,"[2294.745341, 2294.852669, 2294.947169, 2295.049669, 2295.166501, 2295.254501, 2295.363346, 2295.472667, 2295.595166, 2295.710666, 2295.826332]",4,2,go,11,normal,2
