,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,running_speed,time_0,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt,choice,running_time
0,JUV011,211215,1,0.0,0.3063319999998839,1.8329929999999877,0.3084989999999834,0.3084989999999834,"[0.3063319999998839, 0.4184989999998834, 0.5508319999999003, 0.6166639999999006, 0.7083310000000438, 0.7939979999998741, 0.9454969999999321, 1.047162999999955, 1.1489959999998973, 1.2581619999998566, 1.3446619999999712, 1.4669949999999972, 1.582493999999997, 1.7031600000000253, 1.8188259999999445]","[1.7156862745090695, 1.5811965812007849, 1.6666666666656562, 1.4292114695343017, 1.6394335511990172, 1.6176470588228369, 1.5196078431379596, 1.554487179487234, 0.5392156862742791, 0.178571428571591, 0.009259259259260664, 0.3051001821492988, 1.880341880341946, 2.8594771241817827, 2.58714596950011]",1663.447028,4,2,go,15,normal,2,2,"[-2.554055999999946, -2.4240560000002915, -1.8240559999999277, -1.2040560000000369, -0.6940560000002733, -0.18405600000005506, 0.32594399999970847, 0.8459439999996903, 1.3559439999999086, 1.4959439999997812, 2.0959439999996903, 2.7059439999998176, 3.2259439999997994, 3.7359440000000177, 4.245943999999781]"
1,JUV011,211215,2,4.703148000000056,4.868480999999974,8.264472999999953,4.870813999999882,4.870813999999882,"[4.868480999999974, 4.960980000000063, 5.069479999999885, 5.157146999999895, 5.247478999999885, 5.3438119999998435, 5.445312000000058, 5.554153999999926, 5.64047800000003, 5.75597700000003, 5.871977000000015, 5.994809999999916, 6.089475999999877, 6.2384759999999915, 6.367807999999968, 6.509141, 8.24346700000001]","[0.009259259259260664, 0.3051001821492988, 1.880341880341946, 2.8594771241817827, 2.58714596950011, 2.051282051282123, 1.4923747276682064, 1.6557734204800705, 1.3675213675214155, 1.7047930283217105, 1.4651416122011152, 1.8518518518510592, 1.8429487179487825, 1.7948717948702881, 1.6337099811684646, 1.7258652094714066, 1.7788461538462161]",1663.447028,2,2,go,17,normal,2,2,"[2.0959439999996903, 2.7059439999998176, 3.2259439999997994, 3.7359440000000177, 4.245943999999781, 4.765943999999763, 5.275943999999981, 5.785943999999745, 6.305943999999727, 6.815943999999945, 7.3259439999997085, 7.835943999999927, 8.355943999999909, 8.485944000000018, 9.075943999999708, 9.685943999999836, 10.205943999999818]"
2,JUV011,211215,3,10.26579300000003,10.391292000000021,20.894416999999976,,10.391292000000021,"[10.391292000000021, 10.497292000000016, 19.529088999999885, 19.721421999999848, 19.849594000000025, 19.989419999999882, 20.03908699999988, 20.84458399999994]","[1.4651416122011152, 1.8518518518510592, 1.8429487179487825, 1.7948717948702881, 1.6337099811684646, 1.7258652094714066, 1.7788461538462161, 1.4542483660124494, 1.5577342047937506, 1.5705128205128753, 1.7701525054458656, 1.3444444444444446, 0.1969696969697947, 0.07575757575748807, 0.03240740740741232, 1.174863387977897, 2.685185185184036, 2.58714596950011, 1.6013071895417983, -0.08714596949895108, 0.2938034188034291, 1.1655773420474314, 1.4705882352947994, 1.4542483660124494, 0.8442265795210887, 0.947712418300248, 1.8845315904148172, 1.8536324786325435, 1.9063180827878552, 1.6452991452992027, 1.122004357298995, 0.8760683760676405, 1.304143126176703, 1.525500910746494, 1.6067538126369105]",1663.447028,5,-1,nogo,8,normal,,-1,"[7.3259439999997085, 7.835943999999927, 8.355943999999909, 8.485944000000018, 9.075943999999708, 9.685943999999836, 10.205943999999818, 10.715944000000036, 11.2259439999998, 11.745943999999781, 12.255944, 12.755944, 13.305943999999727, 13.415943999999854, 14.015943999999763, 14.62594399999989, 15.135944000000109, 15.645943999999872, 16.15594400000009, 16.665943999999854, 17.185943999999836, 17.695944000000054, 18.205943999999818, 18.715944000000036, 19.2259439999998, 19.735944000000018, 20.24594399999978, 20.765943999999763, 21.27594399999998, 21.795943999999963, 22.305943999999727, 22.435943999999836, 23.02594399999998, 23.63594400000011, 24.145943999999872]"
3,JUV011,211215,4,24.34773599999994,,,,27.598056999999926,[],"[1.6452991452992027, 1.122004357298995, 0.8760683760676405, 1.304143126176703, 1.525500910746494, 1.6067538126369105, 1.5811965811966364, 1.4379084967314106, 1.6720085470086055, 1.3725490196084795, 1.633986928103876, 1.6277777777777778, 1.7628205128205745, 1.6339869281053327, 1.7156862745090695, 1.5958605664495418, 1.5170940170927434, 1.8518518518521327, 1.8996415770598731, 1.846405228759026]",1663.447028,8,0,nogo,0,normal,,0,"[21.795943999999963, 22.305943999999727, 22.435943999999836, 23.02594399999998, 23.63594400000011, 24.145943999999872, 24.665943999999854, 25.175944000000072, 25.695944000000054, 26.205943999999818, 26.715944000000036, 27.215944000000036, 27.735944000000018, 28.24594399999978, 28.755944, 29.265943999999763, 29.395943999999872, 29.99594399999978, 30.615944000000127, 31.12594399999989]"
4,JUV011,211215,5,31.285875000000033,31.47854099999995,32.97586799999999,31.48071600000003,31.48071600000003,"[31.47854099999995, 31.57071299999984, 31.672206999999844, 31.738540000000057, 31.823539999999866, 31.915538999999853, 32.02103899999997, 32.128872999999885, 32.237705000000005, 32.35253799999987, 32.454536999999846, 32.56320299999993, 32.67870300000004, 32.781203000000005, 32.911202]","[1.7156862745090695, 1.5958605664495418, 1.5170940170927434, 1.8518518518521327, 1.8996415770598731, 1.846405228759026, 1.6122004357291575, 1.8518518518527105, 1.4476495726496232, 1.4379084967314106, 1.7047930283232307, 1.6612200435722737, 1.5958605664495418, 1.0239651416117623, 1.3180827886716353]",1663.447028,2,2,go,15,normal,2,2,"[28.755944, 29.265943999999763, 29.395943999999872, 29.99594399999978, 30.615944000000127, 31.12594399999989, 31.63594400000011, 32.14594399999987, 32.665943999999854, 33.17594400000007, 33.685943999999836, 34.195944000000054, 34.70594399999982, 35.215944000000036, 35.7259439999998]"
5,JUV011,211215,6,36.14352199999985,36.32452199999989,36.4300209999999,,36.32452199999989,"[36.32452199999989, 36.42302100000006]","[1.4379084967314106, 1.7047930283232307, 1.6612200435722737, 1.5958605664495418, 1.0239651416117623, 1.3180827886716353, 1.6448801742912351, 0.22435897435898222, -0.02178649237473777, 0.01984126984122344, -0.009259259259260664, -0.004553734061929833, 0.08169934640526663, -0.02723311546839793, -0.037393162393163704, 0.010893246187368885, 0.21901709401710168, -0.09803921568623256, 0.054466230936844426, 0.5341880341880529, 1.1274509803916741, 1.4215686274516395, 1.2581699346399844, 0.8442265795210887, 0.010893246187359172, -0.07936507936515155, -0.009416195856871501, 0.02645502645502187, 0.09259259259263553, 1.0790598290598667, 1.5598290598291145, 2.0388888888888888, 1.4869281045745268, 0.6517094017094245]",1663.447028,5,-1,nogo,2,normal,,-1,"[33.17594400000007, 33.685943999999836, 34.195944000000054, 34.70594399999982, 35.215944000000036, 35.7259439999998, 36.23594400000002, 36.755944, 37.26594399999976, 37.40594400000009, 38.005944, 38.61594400000013, 39.12594399999989, 39.63594400000011, 40.15594400000009, 40.665943999999854, 41.185943999999836, 41.695944000000054, 42.20594399999982, 42.7259439999998, 43.23594400000002, 43.74594399999978, 44.255944, 44.76594399999976, 45.27594399999998, 45.415943999999854, 46.005944, 46.63594400000011, 47.14594399999987, 47.665943999999854, 48.185943999999836, 48.685943999999836, 49.195944000000054, 49.715944000000036]"
6,JUV011,211215,7,49.99647099999993,,,,52.99879199999987,[],"[0.09259259259263553, 1.0790598290598667, 1.5598290598291145, 2.0388888888888888, 1.4869281045745268, 0.6517094017094245, 1.0130718954253064, 0.7026143790846666, 1.574074074074804, 1.3779956427009352, 1.4944444444444445, 1.0683760683761059, 1.3095238095250004, 1.7222222222224834, 1.6530054644805292, 1.3514957264957737, 1.6612200435722737, 1.8222222222222222, 1.5811965811966364, 0.059912854030528866, 0.14957264957265481, 1.6777777777777778, 1.7735042735043356, 1.8409586056637002, 1.8681917211337637, 1.7755991285395452, 1.2873931623932073, 1.5032679738569064, 1.6013071895417983, 1.612200435730595, 1.686868686868129, 1.9117647058815346, 2.0152505446632434, 1.9934640522867284, 1.786492374728497, 1.8464052287573796, 1.8845315904148172, 1.6884531590406717, 1.721132897604284]",1663.447028,14,-1,go,0,missed,,-4,"[47.14594399999987, 47.665943999999854, 48.185943999999836, 48.685943999999836, 49.195944000000054, 49.715944000000036, 50.2259439999998, 50.73594400000002, 51.24594399999978, 51.755944, 52.255944, 52.77594399999998, 52.915943999999854, 53.51594399999976, 54.12594399999989, 54.64594399999987, 55.15594400000009, 55.65594400000009, 56.17594400000007, 56.685943999999836, 57.20594399999982, 57.70594399999982, 58.2259439999998, 58.73594400000002, 59.24594399999978, 59.755944, 60.27594399999998, 60.785943999999745, 61.29594399999996, 61.80594399999973, 62.35594399999991, 62.86594400000013, 63.37594399999989, 63.88594400000011, 64.39594399999987, 64.90594400000009, 65.41594399999985, 65.92594400000007, 66.43594399999984]"
7,JUV011,211215,8,66.744733,,,,69.99505399999998,[],"[1.9934640522867284, 1.786492374728497, 1.8464052287573796, 1.8845315904148172, 1.6884531590406717, 1.721132897604284, 1.7755991285395452, 1.9764957264957954, 1.7701525054474438, 1.6612200435722737, 1.666666666666725, 1.9444444444453461, 1.7483660130711471, 1.5849673202621728, 1.6394335511975555, 1.7333333333333334, 1.5404040404022574, 1.5972222222224643, 1.693989071037898, 1.6987179487180082, 1.9017094017094682]",1663.447028,8,0,nogo,0,normal,,0,"[63.88594400000011, 64.39594399999987, 64.90594400000009, 65.41594399999985, 65.92594400000007, 66.43594399999984, 66.94594400000005, 67.46594400000004, 67.9759439999998, 68.48594400000002, 69.005944, 69.51594399999976, 70.02594399999998, 70.53594399999974, 71.04594399999996, 71.54594399999996, 71.65594400000009, 72.255944, 72.86594400000013, 73.38594400000011, 73.90594400000009]"
8,JUV011,211215,9,74.39820299999997,74.61836900000003,75.88669699999991,74.62070199999994,74.62070199999994,"[74.61836900000003, 74.7282009999999, 74.82436800000005, 74.901701, 75.00769999999989, 75.0920329999999, 75.20720000000006, 75.30919900000004, 75.41769899999986, 75.53303099999994, 75.62753099999986, 75.74969699999997, 75.85802999999987]","[1.7333333333333334, 1.5404040404022574, 1.5972222222224643, 1.693989071037898, 1.6987179487180082, 1.9017094017094682, 1.8191721132906038, 1.9117647058815346, 1.8790849673211327, 1.2873931623932073, 0.43803418803420335, 1.8158436213992992, 2.510893246186289, 2.271241830066413, 1.51709401709407, 1.062091503267519]",1663.447028,4,2,go,13,normal,2,2,"[71.54594399999996, 71.65594400000009, 72.255944, 72.86594400000013, 73.38594400000011, 73.90594400000009, 74.41594399999985, 74.92594400000007, 75.43594399999984, 75.95594399999982, 76.4759439999998, 77.01594399999976, 77.52594399999998, 78.03594399999974, 78.55594399999973, 79.06594399999994]"
9,JUV011,211215,10,79.24701699999991,,,,82.49733700000002,[],"[0.43803418803420335, 1.8158436213992992, 2.510893246186289, 2.271241830066413, 1.51709401709407, 1.062091503267519, 0.4793028322442309, 1.2745098039210232, 2.0673076923077645, 2.066666666666667, 1.7320261437901083, 1.7467948717949329, 1.9607843137263994, 1.8082788671016228, 1.6557734204800705, 1.7735042735043356, 2.0315904139424856, 1.9551282051282735, 2.1241830065369323, 1.9335511982562532, 1.7676767676820293]",1663.447028,8,0,nogo,0,normal,,0,"[76.4759439999998, 77.01594399999976, 77.52594399999998, 78.03594399999974, 78.55594399999973, 79.06594399999994, 79.57594399999971, 80.08594399999993, 80.60594399999991, 81.10594399999991, 81.61594400000013, 82.13594400000011, 82.64594399999987, 83.15594400000009, 83.66594399999985, 84.18594399999984, 84.69594400000005, 85.21594400000004, 85.7259439999998, 86.23594400000002, 86.34594399999969]"
