,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,running_speed,time_0,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
109,JUV011,211215,110,914.9580070000002,915.0998399999999,919.6949879999997,915.102007,915.102007,"[915.0998399999999, 915.2026729999998, 915.3190060000002, 915.4288390000002, 915.5451720000001, 915.6470039999999, 915.7563369999998, 915.8653370000002, 916.0093360000001, 916.1243359999999, 916.2405020000001, 916.3703350000001, 916.4790010000002, 916.614834, 919.6668220000001]","[array([[9.12172972e+02, 1.65577342e+00],
       [9.12682972e+02, 7.84313725e-01],
       [9.13192972e+02, 4.24836601e-01],
       [9.13712972e+02, 5.50213675e-01],
       [9.14222972e+02, 7.73420479e-01],
       [9.14732972e+02, 8.27886710e-01],
       [9.15242972e+02, 1.12200436e+00],
       [9.15782972e+02, 4.47530864e-01],
       [9.15892972e+02, 1.51515152e-01],
       [9.16492972e+02, 2.31481481e-02],
       [9.17102972e+02, 7.87795993e-01],
       [9.17612972e+02, 2.05337691e+00],
       [9.18122972e+02, 1.95533769e+00],
       [9.18642972e+02, 1.20726496e+00],
       [9.19152972e+02, 4.30283224e-01],
       [9.19662972e+02, 7.24400871e-01],
       [9.20172972e+02, 8.27886710e-01],
       [9.20682972e+02, 1.14923747e+00],
       [9.21202972e+02, 1.21794872e+00]])]",1663.447028,4,2,go,15,normal,2
110,JUV011,211215,111,921.6961539999998,921.87898,921.9143129999998,,921.87898,[921.87898],"[array([[9.19152972e+02, 4.30283224e-01],
       [9.19662972e+02, 7.24400871e-01],
       [9.20172972e+02, 8.27886710e-01],
       [9.20682972e+02, 1.14923747e+00],
       [9.21202972e+02, 1.21794872e+00],
       [9.21712972e+02, 1.19281046e+00],
       [9.22222972e+02, 5.88235294e-01],
       [9.22762972e+02, 1.20370370e+00],
       [9.23272972e+02, 1.78104575e+00],
       [9.23782972e+02, 1.72657952e+00],
       [9.24292972e+02, 1.39978214e+00],
       [9.24812972e+02, 1.40491453e+00],
       [9.25322972e+02, 1.45969499e+00],
       [9.25832972e+02, 1.43790850e+00],
       [9.26352972e+02, 1.33547009e+00],
       [9.26862972e+02, 1.28540305e+00],
       [9.27372972e+02, 1.41067538e+00],
       [9.27882972e+02, 1.30718954e+00],
       [9.28392972e+02, 1.30174292e+00],
       [9.28902972e+02, 1.42701525e+00],
       [9.29412972e+02, 1.22004357e+00],
       [9.29922972e+02, 1.44335512e+00],
       [9.30432972e+02, 1.39433551e+00],
       [9.30942972e+02, 1.48148148e+00],
       [9.31462972e+02, 1.38354701e+00],
       [9.31972972e+02, 1.49782135e+00],
       [9.32482972e+02, 1.41067538e+00],
       [9.32592972e+02, 1.21212121e+00],
       [9.33182972e+02, 1.44538606e+00],
       [9.33792972e+02, 1.50728597e+00],
       [9.34302972e+02, 1.53050109e+00],
       [9.34812972e+02, 1.55773420e+00],
       [9.35322972e+02, 1.45424837e+00],
       [9.35842972e+02, 1.39957265e+00]])]",1663.447028,5,-1,nogo,1,normal,
111,JUV011,211215,112,936.1270890000001,,,,939.3774090000002,[],"[array([[933.182972  ,   1.44538606],
       [933.792972  ,   1.50728597],
       [934.302972  ,   1.53050109],
       [934.812972  ,   1.5577342 ],
       [935.322972  ,   1.45424837],
       [935.842972  ,   1.39957265],
       [936.352972  ,   1.45424837],
       [936.862972  ,   1.49237473],
       [937.372972  ,   1.68845316],
       [937.892972  ,   1.41025641],
       [938.402972  ,   1.42156863],
       [938.912972  ,   1.5087146 ],
       [939.422972  ,   1.53594771],
       [939.942972  ,   1.43162393],
       [940.062972  ,   1.43518519],
       [940.672972  ,   1.67577413],
       [941.272972  ,   1.64351852],
       [941.782972  ,   1.72657952],
       [942.292972  ,   1.58496732],
       [942.802972  ,   1.53050109],
       [943.312972  ,   1.53050109]])]",1663.447028,8,0,nogo,0,normal,
112,JUV011,211215,113,943.6305590000002,943.8375580000002,944.009391,,943.8375580000002,"[943.8375580000002, 943.9520579999999]","[array([[9.40672972e+02, 1.67577413e+00],
       [9.41272972e+02, 1.64351852e+00],
       [9.41782972e+02, 1.72657952e+00],
       [9.42292972e+02, 1.58496732e+00],
       [9.42802972e+02, 1.53050109e+00],
       [9.43312972e+02, 1.53050109e+00],
       [9.43812972e+02, 1.69444444e+00],
       [9.44332972e+02, 9.13461538e-01],
       [9.44872972e+02, 1.43004115e+00],
       [9.45382972e+02, 1.88997821e+00],
       [9.45882972e+02, 2.02777778e+00],
       [9.46402972e+02, 1.60790598e+00],
       [9.46912972e+02, 1.32897603e+00],
       [9.47422972e+02, 5.50108932e-01],
       [9.47932972e+02, 5.17429194e-01],
       [9.48452972e+02, 9.82905983e-01],
       [9.48952972e+02, 1.46666667e+00],
       [9.49462972e+02, 1.36165577e+00],
       [9.49972972e+02, 8.76906318e-01],
       [9.50482972e+02, 1.30718954e+00],
       [9.51002972e+02, 1.48504274e+00],
       [9.51502972e+02, 1.48333333e+00],
       [9.52022972e+02, 1.49038462e+00],
       [9.52532972e+02, 1.62309368e+00],
       [9.53052972e+02, 1.47970085e+00],
       [9.53562972e+02, 1.51960784e+00],
       [9.54072972e+02, 1.44335512e+00],
       [9.54182972e+02, 1.28787879e+00],
       [9.54772972e+02, 1.58662900e+00],
       [9.55382972e+02, 1.53916211e+00],
       [9.55902972e+02, 1.51175214e+00],
       [9.56412972e+02, 1.52505447e+00],
       [9.56922972e+02, 1.59586057e+00],
       [9.57432972e+02, 1.16557734e+00],
       [9.57942972e+02, 1.27995643e+00]])]",1663.447028,5,-1,nogo,2,normal,
113,JUV011,211215,114,958.2588339999998,,,,961.5091539999999,[],"[array([[955.382972  ,   1.53916211],
       [955.902972  ,   1.51175214],
       [956.412972  ,   1.52505447],
       [956.922972  ,   1.59586057],
       [957.432972  ,   1.16557734],
       [957.942972  ,   1.27995643],
       [958.452972  ,   1.78649237],
       [958.972972  ,   1.71474359],
       [959.482972  ,   1.65577342],
       [959.992972  ,   1.53050109],
       [960.512972  ,   1.4957265 ],
       [961.022972  ,   1.55228758],
       [961.532972  ,   1.5577342 ],
       [962.052972  ,   1.64529915],
       [962.182972  ,   1.83760684],
       [962.772972  ,   1.89265537],
       [963.372972  ,   1.6712963 ],
       [963.882972  ,   1.62854031],
       [964.402972  ,   1.51175214],
       [964.912972  ,   1.36165577]])]",1663.447028,8,0,nogo,0,normal,
114,JUV011,211215,115,965.2969720000001,,,,968.2991269999998,[],"[array([[ 9.62772972e+02,  1.89265537e+00],
       [ 9.63372972e+02,  1.67129630e+00],
       [ 9.63882972e+02,  1.62854031e+00],
       [ 9.64402972e+02,  1.51175214e+00],
       [ 9.64912972e+02,  1.36165577e+00],
       [ 9.65422972e+02,  8.87799564e-01],
       [ 9.65932972e+02,  2.39651416e-01],
       [ 9.66452972e+02,  1.45833333e+00],
       [ 9.66952972e+02,  1.51111111e+00],
       [ 9.67462972e+02,  1.65032680e+00],
       [ 9.67982972e+02,  1.50641026e+00],
       [ 9.68492972e+02,  1.48148148e+00],
       [ 9.69032972e+02,  1.51748971e+00],
       [ 9.69552972e+02,  1.39957265e+00],
       [ 9.70052972e+02,  1.54444444e+00],
       [ 9.70562972e+02,  1.55773420e+00],
       [ 9.71072972e+02,  1.58496732e+00],
       [ 9.71592972e+02,  1.43696581e+00],
       [ 9.72102972e+02,  1.17647059e+00],
       [ 9.72612972e+02,  8.38779956e-01],
       [ 9.73132972e+02, -1.22863248e-01],
       [ 9.73632972e+02, -2.22222222e-02],
       [ 9.74142972e+02, -4.90196078e-02],
       [ 9.74662972e+02,  5.92948718e-01],
       [ 9.75172972e+02,  1.03485839e+00],
       [ 9.75682972e+02,  9.31372549e-01],
       [ 9.76192972e+02,  1.74291939e-01],
       [ 9.76702972e+02,  8.71459695e-02],
       [ 9.77212972e+02,  7.08061002e-01],
       [ 9.77722972e+02,  1.06753813e+00],
       [ 9.78232972e+02,  1.37254902e+00],
       [ 9.78742972e+02,  1.67755991e+00],
       [ 9.78842972e+02,  1.75000000e+00],
       [ 9.79442972e+02,  7.50000000e-01],
       [ 9.80042972e+02,  7.87037037e-01],
       [ 9.80562972e+02,  1.27136752e+00],
       [ 9.81072972e+02,  9.80392157e-01],
       [ 9.81592972e+02,  8.49358974e-01],
       [ 9.82102972e+02,  1.73202614e+00],
       [ 9.82612972e+02,  1.85729847e+00]])]",1663.447028,13,-1,go,0,missed,
115,JUV011,211215,116,982.7430690000001,988.8258780000001,989.3073759999997,,985.9933900000001,"[988.8258780000001, 988.932378, 989.0527160000001, 989.188044, 989.293377]","[array([[9.80042972e+02, 7.87037037e-01],
       [9.80562972e+02, 1.27136752e+00],
       [9.81072972e+02, 9.80392157e-01],
       [9.81592972e+02, 8.49358974e-01],
       [9.82102972e+02, 1.73202614e+00],
       [9.82612972e+02, 1.85729847e+00],
       [9.83122972e+02, 1.33986928e+00],
       [9.83632972e+02, 1.20370370e+00],
       [9.84142972e+02, 2.09694989e+00],
       [9.84652972e+02, 1.93355120e+00],
       [9.85162972e+02, 1.71568627e+00],
       [9.85672972e+02, 1.47058824e+00],
       [9.86182972e+02, 1.64488017e+00],
       [9.86312972e+02, 1.55982906e+00],
       [9.86902972e+02, 1.73728814e+00],
       [9.87512972e+02, 1.64389800e+00],
       [9.88012972e+02, 2.00555556e+00],
       [9.88532972e+02, 2.06730769e+00],
       [9.89042972e+02, 1.14379085e+00],
       [9.89562972e+02, 1.22863248e-01],
       [9.90072972e+02, 9.53159041e-01],
       [9.90582972e+02, 1.01307190e+00],
       [9.91102972e+02, 7.47863248e-01]])]",1663.447028,6,0,nogo,5,normal,
116,JUV011,211215,117,991.3087019999998,,,,994.3110229999998,[],"[array([[9.88532972e+02, 2.06730769e+00],
       [9.89042972e+02, 1.14379085e+00],
       [9.89562972e+02, 1.22863248e-01],
       [9.90072972e+02, 9.53159041e-01],
       [9.90582972e+02, 1.01307190e+00],
       [9.91102972e+02, 7.47863248e-01],
       [9.91612972e+02, 1.36165577e+00],
       [9.92132972e+02, 1.46901709e+00],
       [9.92642972e+02, 1.68845316e+00],
       [9.93152972e+02, 2.05337691e+00],
       [9.93662972e+02, 2.54901961e+00],
       [9.94172972e+02, 2.45642702e+00],
       [9.94682972e+02, 2.03159041e+00],
       [9.95222972e+02, 2.27366255e+00],
       [9.95732972e+02, 2.38017429e+00],
       [9.96252972e+02, 2.21688034e+00],
       [9.96762972e+02, 1.85185185e+00],
       [9.97272972e+02, 2.09150327e+00],
       [9.97792972e+02, 1.74679487e+00],
       [9.98302972e+02, 1.66122004e+00],
       [9.98812972e+02, 1.67755991e+00],
       [9.99322972e+02, 1.46514161e+00],
       [9.99832972e+02, 1.55773420e+00],
       [1.00034297e+03, 1.75925926e+00],
       [1.00086297e+03, 1.83760684e+00],
       [1.00137297e+03, 1.16013072e+00],
       [1.00188297e+03, 1.53050109e+00],
       [1.00240297e+03, 1.74679487e+00],
       [1.00291297e+03, 1.77015251e+00],
       [1.00342297e+03, 2.00435730e+00],
       [1.00393297e+03, 2.23856209e+00],
       [1.00444297e+03, 2.34204793e+00],
       [1.00455297e+03, 2.19696970e+00],
       [1.00514297e+03, 2.47175141e+00],
       [1.00575297e+03, 2.33606557e+00],
       [1.00627297e+03, 2.21153846e+00],
       [1.00678297e+03, 1.69389978e+00],
       [1.00729297e+03, 5.44662309e-03],
       [1.00780297e+03, 8.82352941e-01],
       [1.00831297e+03, 1.49782135e+00]])]",1663.447028,14,-1,go,0,missed,
117,JUV011,211215,118,1008.473133,1008.6674659999999,1012.113785,1008.6696320000001,1008.6696320000001,"[1008.6674659999999, 1008.775298, 1008.890965, 1008.979464, 1009.0899639999998, 1009.18563, 1009.303296, 1009.4144630000001, 1009.5324620000001, 1009.642128, 1009.7517950000001, 1009.882795, 1009.9914599999997, 1012.1001190000002]","[array([[1.00575297e+03, 2.33606557e+00],
       [1.00627297e+03, 2.21153846e+00],
       [1.00678297e+03, 1.69389978e+00],
       [1.00729297e+03, 5.44662309e-03],
       [1.00780297e+03, 8.82352941e-01],
       [1.00831297e+03, 1.49782135e+00],
       [1.00882297e+03, 1.17647059e+00],
       [1.00936297e+03, 1.59465021e-01],
       [1.00947297e+03, 2.52525253e-02],
       [1.01006297e+03, 0.00000000e+00],
       [1.01067297e+03, 1.11111111e+00],
       [1.01119297e+03, 1.76816239e+00],
       [1.01170297e+03, 1.02941176e+00],
       [1.01221297e+03, 4.03050109e-01],
       [1.01272297e+03, 9.96732026e-01],
       [1.01323297e+03, 7.13507625e-01],
       [1.01374297e+03, 1.19281046e+00]])]",1663.447028,1,2,go,14,normal,2
118,JUV011,211215,119,1014.1149540000001,,,,1017.1172729999998,[],"[array([[1.01119297e+03, 1.76816239e+00],
       [1.01170297e+03, 1.02941176e+00],
       [1.01221297e+03, 4.03050109e-01],
       [1.01272297e+03, 9.96732026e-01],
       [1.01323297e+03, 7.13507625e-01],
       [1.01374297e+03, 1.19281046e+00],
       [1.01426297e+03, 4.59401709e-01],
       [1.01477297e+03, 1.04030501e+00],
       [1.01529297e+03, 1.28739316e+00],
       [1.01580297e+03, 1.29084967e+00],
       [1.01631297e+03, 8.22440087e-01],
       [1.01682297e+03, 1.29084967e+00],
       [1.01733297e+03, 1.49782135e+00],
       [1.01787297e+03, 1.38888889e+00],
       [1.01839297e+03, 1.42628205e+00],
       [1.01890297e+03, 1.78649237e+00],
       [1.01941297e+03, 1.85185185e+00],
       [1.01993297e+03, 1.70940171e+00],
       [1.02045297e+03, 1.60256410e+00],
       [1.02096297e+03, 1.56318083e+00],
       [1.02147297e+03, 1.63943355e+00],
       [1.02198297e+03, 1.64488017e+00],
       [1.02250297e+03, 1.81623932e+00],
       [1.02301297e+03, 1.55228758e+00],
       [1.02353297e+03, 1.48504274e+00],
       [1.02404297e+03, 1.61764706e+00],
       [1.02455297e+03, 1.63943355e+00],
       [1.02507297e+03, 1.77350427e+00],
       [1.02558297e+03, 1.62854031e+00],
       [1.02610297e+03, 1.28205128e+00],
       [1.02661297e+03, 1.39978214e+00],
       [1.02712297e+03, 1.54139434e+00],
       [1.02764297e+03, 1.52777778e+00],
       [1.02775297e+03, 1.54040404e+00],
       [1.02834297e+03, 1.59604520e+00],
       [1.02895297e+03, 1.90346084e+00],
       [1.02947297e+03, 1.64529915e+00],
       [1.02998297e+03, 1.74291939e+00],
       [1.03049297e+03, 1.74836601e+00],
       [1.03101297e+03, 1.73076923e+00],
       [1.03151297e+03, 1.57777778e+00]])]",1663.447028,16,-1,go,0,missed,
